delivery_id,customer_id,customer_name,delivery_date,time_slot,postal_code,order_type,order_value,was_successful
DEL_015638,CUST_0045,Betty Nelson,2025-06-26,09:00-12:00,10002,standard,113.41,1
DEL_018937,CUST_0072,Carol Johnson,2025-06-26,09:00-12:00,10001,fragile,419.89,1
DEL_005901,CUST_0130,David Martin,2025-06-26,09:00-12:00,10002,bulky,431.24,1
DEL_002073,CUST_0033,Andrew Carter,2025-06-26,12:00-15:00,10002,express,50.01,1
DEL_015399,CUST_0027,Margaret Gonzalez,2025-06-26,12:00-15:00,10002,fragile,164.89,1
DEL_019894,CUST_0017,Alexander Flores,2025-06-26,18:00-21:00,10003,express,495.24,1
DEL_010467,CUST_0046,Nicholas Wilson,2025-06-26,18:00-21:00,10002,standard,224.43,1
DEL_006958,CUST_0013,Joseph Nguyen,2025-06-26,21:00-23:00,10001,fragile,326.92,1
DEL_016219,CUST_0001,Christopher Wilson,2025-06-26,12:00-15:00,10002,standard,401.93,1
DEL_016456,CUST_0063,Joshua Roberts,2025-06-26,12:00-15:00,10001,standard,220.08,1
DEL_013861,CUST_0023,Thomas Torres,2025-06-26,12:00-15:00,20002,standard,369.97,1
DEL_018612,CUST_0026,Timothy Rodriguez,2025-06-26,21:00-23:00,10002,standard,363.47,1
DEL_003609,CUST_0003,Alexander Jackson,2025-06-26,15:00-18:00,10002,bulky,266.51,0
DEL_007561,CUST_0156,Joshua Flores,2025-06-26,21:00-23:00,10003,fragile,314.61,1
DEL_019726,CUST_0097,Jacob Torres,2025-06-26,18:00-21:00,10003,bulky,279.01,1
DEL_017199,CUST_0231,Sandra Hill,2025-06-26,12:00-15:00,20001,express,67.57,1
DEL_015310,CUST_0023,Thomas Torres,2025-06-26,12:00-15:00,10001,fragile,41.07,1
DEL_019429,CUST_0034,Luke Flores,2025-06-26,15:00-18:00,10003,express,306.3,1
DEL_001050,CUST_0092,Joseph Jackson,2025-06-26,12:00-15:00,10003,bulky,242.15,1
DEL_019641,CUST_0091,Ashley White,2025-06-26,12:00-15:00,10002,standard,56.7,1
DEL_014147,CUST_0032,Samuel Davis,2025-06-26,09:00-12:00,10003,standard,51.17,1
DEL_003038,CUST_0019,Joshua Baker,2025-06-26,09:00-12:00,10002,fragile,118.37,1
DEL_008348,CUST_0084,Thomas White,2025-06-26,21:00-23:00,10001,fragile,398.76,0
DEL_003478,CUST_0052,Matthew White,2025-06-26,21:00-23:00,10002,express,490.89,0
DEL_007387,CUST_0040,Robert Thomas,2025-06-26,15:00-18:00,10002,standard,31.27,0
DEL_017092,CUST_0075,Matthew Martinez,2025-06-26,18:00-21:00,10001,standard,461.84,1
DEL_013695,CUST_0054,Patrick Wilson,2025-06-26,21:00-23:00,10002,standard,223.52,1
DEL_001034,CUST_0054,Patrick Wilson,2025-06-26,15:00-18:00,10002,fragile,287.43,0
DEL_001470,CUST_0024,Joshua Scott,2025-06-26,21:00-23:00,10001,standard,151.37,1
DEL_012713,CUST_0061,Matthew Harris,2025-06-26,18:00-21:00,10002,standard,412.42,1
DEL_009492,CUST_0086,Margaret Walker,2025-06-26,18:00-21:00,10002,bulky,161.85,1
DEL_003519,CUST_0184,Ruth Roberts,2025-06-26,09:00-12:00,20002,fragile,218.11,0
DEL_012696,CUST_0128,Thomas Martin,2025-06-26,09:00-12:00,10003,standard,473.0,1
DEL_010011,CUST_0399,Margaret Jackson,2025-06-26,15:00-18:00,10001,express,263.97,0
DEL_015005,CUST_0100,Ashley Ramirez,2025-06-26,15:00-18:00,20002,express,474.24,1
DEL_000533,CUST_0038,Michael Clark,2025-06-26,12:00-15:00,10001,bulky,497.52,1
DEL_017268,CUST_0016,Carol Nelson,2025-06-26,21:00-23:00,10002,standard,103.72,1
DEL_006749,CUST_0043,David Wright,2025-06-26,09:00-12:00,10003,standard,417.03,1
DEL_002612,CUST_0054,Patrick Wilson,2025-06-26,18:00-21:00,10002,express,160.94,1
DEL_013369,CUST_0086,Margaret Walker,2025-06-26,12:00-15:00,10002,standard,450.83,0
DEL_007757,CUST_0087,Luke Johnson,2025-06-26,12:00-15:00,20001,bulky,89.08,1
DEL_007083,CUST_0093,David Smith,2025-06-26,18:00-21:00,10003,standard,150.96,1
DEL_014361,CUST_0030,Rebecca Martin,2025-06-26,21:00-23:00,10001,fragile,435.78,1
DEL_019246,CUST_0095,Rebecca Williams,2025-06-26,15:00-18:00,10003,express,476.57,1
DEL_017650,CUST_0095,Rebecca Williams,2025-06-26,21:00-23:00,10003,express,356.88,1
DEL_014399,CUST_0003,Alexander Jackson,2025-06-26,12:00-15:00,10002,standard,223.37,1
DEL_005688,CUST_0092,Joseph Jackson,2025-06-26,12:00-15:00,10003,bulky,156.06,1
DEL_000555,CUST_0044,Alexander Wright,2025-06-26,09:00-12:00,10001,bulky,331.79,0
DEL_002473,CUST_0068,Nancy Ramirez,2025-06-26,18:00-21:00,10001,express,269.67,1
DEL_015892,CUST_0011,Alexander Mitchell,2025-06-26,15:00-18:00,20002,bulky,361.46,1
DEL_006344,CUST_0089,Emily Ramirez,2025-06-26,09:00-12:00,10002,bulky,450.01,1
DEL_013385,CUST_0035,Ryan White,2025-06-26,12:00-15:00,10001,bulky,143.25,1
DEL_002650,CUST_0012,Stephanie Wilson,2025-06-26,18:00-21:00,10001,standard,26.32,1
DEL_005760,CUST_0174,Donna Ramirez,2025-06-26,18:00-21:00,10002,standard,42.46,1
DEL_018823,CUST_0029,Nicholas Jones,2025-06-26,12:00-15:00,20002,bulky,465.4,1
DEL_012148,CUST_0058,Amy Martinez,2025-06-26,12:00-15:00,20002,bulky,384.76,1
DEL_004754,CUST_0140,Rebecca Thompson,2025-06-26,18:00-21:00,10002,express,203.09,1
DEL_002726,CUST_0032,Samuel Davis,2025-06-26,21:00-23:00,10003,standard,91.92,1
DEL_019278,CUST_0071,James Hall,2025-06-26,15:00-18:00,10003,fragile,187.53,1
DEL_002259,CUST_0057,Amy Perez,2025-06-26,12:00-15:00,10003,standard,319.11,1
DEL_018869,CUST_0352,Jessica Thomas,2025-06-26,15:00-18:00,20002,bulky,247.55,1
DEL_005808,CUST_0075,Matthew Martinez,2025-06-26,21:00-23:00,10001,standard,211.37,1
DEL_000719,CUST_0021,Emily Martin,2025-06-26,15:00-18:00,10001,standard,458.0,1
DEL_000275,CUST_0021,Emily Martin,2025-06-26,12:00-15:00,10001,fragile,387.9,1
DEL_010392,CUST_0008,Brian Rodriguez,2025-06-26,18:00-21:00,10001,fragile,241.89,1
DEL_007637,CUST_0001,Christopher Wilson,2025-06-26,09:00-12:00,10002,fragile,118.05,1
DEL_002321,CUST_0254,Jennifer Jackson,2025-06-26,15:00-18:00,20001,fragile,477.09,1
DEL_015050,CUST_0052,Matthew White,2025-06-26,18:00-21:00,10002,fragile,355.21,1
DEL_019775,CUST_0005,Amanda Carter,2025-06-26,09:00-12:00,10002,bulky,65.86,1
DEL_007959,CUST_0031,Jacob King,2025-06-26,09:00-12:00,10001,standard,359.33,1
DEL_016959,CUST_0052,Matthew White,2025-06-26,18:00-21:00,10002,express,461.97,1
DEL_005987,CUST_0070,Isaac King,2025-06-26,12:00-15:00,10002,fragile,38.41,1
DEL_010001,CUST_0011,Alexander Mitchell,2025-06-26,18:00-21:00,20002,fragile,166.89,1
DEL_006043,CUST_0051,Donna Martin,2025-06-26,09:00-12:00,10002,express,374.77,1
DEL_019917,CUST_0037,Sharon Ramirez,2025-06-26,21:00-23:00,10003,express,409.44,1
DEL_016797,CUST_0001,Christopher Wilson,2025-06-26,12:00-15:00,10002,fragile,457.41,1
DEL_006045,CUST_0273,John Young,2025-06-26,21:00-23:00,10003,express,143.91,1
DEL_019084,CUST_0006,Ruth Walker,2025-06-26,15:00-18:00,10001,standard,446.88,1
DEL_006066,CUST_0069,Brian Sanchez,2025-06-26,15:00-18:00,10003,bulky,348.78,1
DEL_004446,CUST_0094,Thomas Hernandez,2025-06-26,18:00-21:00,10003,bulky,336.9,1
